,4984
A,"Laptop Asus TUF Gaming FA707RC-HX130W R7 6800H/8GB/512GB/17.3"" FHD/NVIDIA GeForce RTX 3050 4GB/Win11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-gaming-tuf-fa707rc-hx130w-r7-6800h-htm
C,29.490.000
D,1 máy
E,22.9 x 397 x 264.1
F,2.6
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Kim loại, Mặt lưng máy: Nhựa"
H,AMD
I,Ryzen 7
J,6800H
K,3.20 GHz
L,4.70 GHz
M,8
N,16
O,20 MB
P,
Q,8 GB
R,DDR5
S,
T,2
U,1
V,1
W,32 GB
X,17.3 inch
Y,IPS LCD
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,
AG,Không
AH,AMD
AI,
AJ,
AK,
AL,NVIDIA
AM,GeForce RTX 3050
AN,4 GB
AO,SSD
AP,
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 1 LAN, 2 Type C, 2 USB 3.0"
AV,802.11 ax
AW,v5.2
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,RGB
BD,4 Cell
BE,56 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Asus SonicMaster stereo
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
