,3808
A,"Laptop Gigabyte Gaming G5 GD-51VN123SO i5 11400H/16GB/512GB/15.6"" FHD/GeForce RTX 3050 4GB/Win 11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/gigabyte-gaming-g5-gd-i5-11400h-rtx3050-htm
C,20.490.000
D,1 máy
E,361 x 258 x 24.9 mm
F,2.2 kg
G,Vỏ máy: Nhựa
H,Intel
I,Core i5
J,11400H
K,2.70 GHz
L,4.50 GHz
M,6
N,12
O,12 MB
P,8 GT/s
Q,16 GB (2 thanh 8 GB)
R,DDR4
S,3200 MHz
T,2
U,0
V,0
W,64 GB
X,15.6 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,
AB,144 Hz
AC,IPS
AD,300 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,UHD
AJ,
AK,
AL,NVIDIA
AM,GeForce RTX 3050
AN,4 GB GDDR6
AO,SSD
AP,
AQ,2 x 2
AR,1 SSD
AS,M2. PCIe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI 2.0, 1 Jack 3.5 mm, 1 LAN, 1 SD Card, 1 USB 2.0, 1 USB 3.2 Gen 1, 2 USB 3.2 Gen 2"
AV,802.11 a/b/g/n/ac/ax
AW,v5.2
AX,HD Webcam (720p Webcam)
AY,
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,15 màu
BD,48.96 Wh
BE,150 W
BF,Windows
BG,Windows 11 Home
BH,
BI,
BJ,
BK,88 - 90% sRGB
BL,Đơn sắc
BM,
BN,
BO,
BP,
BQ,Có
BR,
BS,
BT,
BU,
BV,
BW,
BX,
