,472
A,Laptop HP 240 G8 i5 1135G7/8GB/512GB/14’’HD/Win 11
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/hp-240-g8-i5-1135g7-512gb-htm
C,18.390.000
D,2 máy
E,324 x 226 x 19.9 mm
F,1.47 kg
G,
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB (1 thanh 8 GB)
R,DDR4
S,3200 MHz
T,1
U,1
V,1
W,24 GB
X,14.0 inch
Y,Anti-glare LED Backlit Ultra Slim
Z,1366 x 768 Pixels
AA,LED
AB,60 Hz
AC,SVA
AD,250 nits
AE,3:2
AF,1000:1
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 DisplayPort, 1 HDMI, 1 LAN, 2 USB 3.0"
AV,802.11 ac
AW,v5.0
AX,Trước HD Webcam (720p Webcam)
AY,2
AZ,English International Non-backlit Keyboard
BA,Không
BB,
BC,
BD,3 Cell
BE,45 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,Bản lề đôi
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Stereo speakers with high dynamic range
BQ,1 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
