,4971
A,Laptop Asus Zenbook Duo UX482EA-KA274T i5 1135G7/8GB/512GB SSD/14.0'' FHD Touch /Win10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-zenbook-duo-ux482ea-ka274t-i5-1135g7-htm
C,32.990.000
D,1 máy
E,
F,1.62 kg
G,"Khung màn hình: Kim loại, Mặt bàn phím + kê tay: Kim loại, Mặt bên ngoài cùng: Kim loại, Mặt lưng máy: Kim loại"
H,Intel
I,Core i5
J,1135G7
K,1.20 GHz
L,2.80 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB
R,LPDDR4X
S,4267 MHz
T,0
U,0
V,1
W,
X,14.0 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,400 nits
AE,
AF,
AG,Có
AH,Intel
AI,Iris Xe
AJ,1300 MHz
AK,
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,
AR,
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 USB 3.0, 2 Thunderbolt"
AV,802.11 ax
AW,v5.0
AX,
AY,2
AZ,Chiclet Keyboard
BA,
BB,LED
BC,Trắng
BD,4 Cell
BE,65 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,
BJ,
BK,100% sRGB
BL,Đơn sắc
BM,ScreenPad Plus
BN,Lithium-ion
BO,400 MHz
BP,Asus SonicMaster stereo
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
