,410
A,Laptop Lenovo Yoga 7 14ACN6 R5 5600U/8GB/512GB/14.0''FHD/Win 11
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/lenovo-yoga-7-14acn6-r5-5600u-htm
C,24.990.000
D,1 máy
E,15.69 x 320 x 214 mm
F,1.45 kg
G,"Khung màn hình: Kính, Mặt bàn phím + kê tay: Nhôm"
H,AMD
I,Ryzen 5
J,5600U
K,2.30 GHz
L,4.20 GHz
M,6
N,12
O,3 MB
P,4 GT/s
Q,8 GB
R,LPDDR4X
S,4266 MHz
T,0
U,0
V,1
W,
X,14.0 inch
Y,IPS LCD
Z,1920 x 1080 Pixels
AA,LED
AB,
AC,IPS
AD,300 nits
AE,16:09
AF,
AG,Có
AH,AMD
AI,Radeon
AJ,
AK,
AL,
AM,
AN,
AO,SSD
AP,
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 Jack 3.5 mm, 1 Thunderbolt, 1 USB 3.0, 2 Type C"
AV,802.11 ax
AW,v5.0
AX,
AY,2
AZ,"6-row, multimedia Fn keys, numeric keypad"
BA,Không
BB,LED
BC,Trắng
BD,71 Wh
BE,65 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,Office 365
BJ,Bản lề đơn
BK,72% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Dolby Audio
BQ,1 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
