,4822
A,Laptop Dell Vostro V3405 R5 3500U/8GB/512GB/Win 11&Office HS21
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-vostro-v3405-r5-3500u-win-11-htm
C,17.990.000
D,2 máy
E,
F,1.79 kg
G,Mặt bàn phím + kê tay: Nhựa
H,AMD
I,Ryzen 5
J,3500U
K,2.10 GHz
L,
M,4
N,8
O,
P,
Q,8 GB
R,DDR4
S,
T,
U,
V,
W,
X,14.0 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,
AC,
AD,
AE,
AF,
AG,Không
AH,AMD
AI,
AJ,
AK,
AL,
AM,
AN,
AO,
AP,
AQ,
AR,
AS,
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm"
AV,802.11 ac
AW,v5.0
AX,
AY,2
AZ,English International Backlit Keyboard
BA,Không
BB,
BC,
BD,3 Cell
BE,
BF,Windows
BG,Windows 11 Home
BH,
BI,
BJ,
BK,45% NTSC
BL,
BM,
BN,Lithium-ion
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
