,2827
A,Laptop Dell Inspiron N3501 i5 1135G7/8GB/512GB/GF MX330 2GB/15.6FHD/Win 10+Office Home&Student
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-inspiron-n3501-i5-1135g7-win10-htm
C,22.490.000
D,4 máy
E,
F,
G,
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,
M,
N,
O,
P,
Q,8 GB
R,DDR4
S,
T,
U,
V,
W,
X,15.6 inch
Y,WVA Anti-glare LED Backlit Narrow Border
Z,1920 x 1080 Pixels
AA,
AB,
AC,
AD,
AE,
AF,
AG,
AH,
AI,
AJ,
AK,
AL,
AM,
AN,
AO,
AP,
AQ,
AR,
AS,
AT,
AU,
AV,
AW,
AX,
AY,
AZ,
BA,
BB,
BC,
BD,3 Cell
BE,
BF,
BG,Windows 10
BH,
BI,
BJ,
BK,
BL,
BM,
BN,
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
