,176
A,Laptop Asus Vivobook A415EA-EB1471W i5 1135G7/8GB/512GB SSD/Win 11
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-vivobook-a415ea-eb1471w-i5-1135g7-htm
C,17.290.000
D,10 máy
E,324 x 215.6 x 17.9 mm
F,1.4 kg
G,"Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Nhôm"
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,0
U,0
V,1
W,Không nâng cấp
X,14.0 inch
Y,IPS LCD
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,Share
AL,
AM,
AN,
AO,SSD
AP,
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 1 USB 3.0, 2 USB 2.0"
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,1
AZ,Chiclet Keyboard
BA,Không
BB,
BC,
BD,3 Cell
BE,42 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Asus SonicMaster stereo
BQ,
BR,
BS,
BT,
BU,2280
BV,
BW,
BX,
