,641
A,"Laptop Asus Zenbook Flip UX363EA-HP130T i5 1135G7/8GB/512GB SSD/13.3"" OLED FHD/Win10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-zenbook-flip-ux363ea-hp130t-i5-1135g7-htm
C,27.990.000
D,1 máy
E,305.2 x 210.6 x 10.89 ~ 10.89 mm
F,1.3 kg
G,"Khung màn hình: Nhôm, Mặt bàn phím + kê tay: Nhôm, Mặt bên ngoài cùng: Nhôm, Mặt lưng máy: Nhôm"
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,
Q,8 GB
R,LPDDR4X
S,4266 MHz
T,0
U,0
V,1
W,Không nâng cấp
X,13.3 inch
Y,LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,OLED
AD,400 nits
AE,16:09
AF,
AG,Có
AH,Intel
AI,Iris Xe
AJ,1300 MHz
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 USB 3.0, 2 Thunderbolt, 2 Type C"
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,Trắng
BD,4 Cell
BE,65 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,
BJ,Bản lề đôi
BK,100% DCI-P3
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,400 MHz
BP,Asus SonicMaster stereo
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
