,3458
A,"Laptop Lenovo IdeaPad Gaming 3 15ACH6 R5 5600H/8GB/512GB/15.6""FHD/NVIDIA GeForce RTX 3050 4GB/Win 11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/lenovo-ideapad-gaming-3-15ach6-r5-5600h-htm
C,21.990.000
D,2 máy
E,359.6 x 251.9 x 24.2 mm
F,2.25 kg
G,Mặt bàn phím + kê tay: Nhựa ABS
H,AMD
I,Ryzen 5
J,5600H
K,3.30 GHz
L,4.20 GHz
M,6
N,12
O,16 MB
P,
Q,8 GB (1 thanh 8 GB)
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,16 GB
X,15.6 inch
Y,"IPS LCD LED Backlit, True Tone"
Z,1920 x 1080 Pixels
AA,LED
AB,120 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,800:1
AG,Không
AH,AMD
AI,Radeon
AJ,
AK,Share
AL,NVIDIA
AM,GeForce RTX 3050
AN,4 GB GDDR6
AO,SSD
AP,
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Type C, 2 USB 3.0"
AV,Wifi 6
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,"6-row, multimedia Fn keys, numeric keypad"
BA,Có
BB,LED
BC,Trắng
BD,3 Cell
BE,
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,Lenovo Vantage
BJ,Bản lề đơn
BK,45% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Realtek ALC3254 with Nahimic 3D Audio for Gamers
BQ,2 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
