,4129
A,Laptop Asus Vivobook A515EA-BQ498T i5 1135G7/8GB/512G SSD/Intel Iris Xe/Win10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-vivobook-a515ea-bq498t-i5-1135g7-htm
C,18.990.000
D,2 máy
E,359 x 235 x 17.9 mm
F,1.8 kg
G,"Khung màn hình: Nhựa ABS, Mặt bàn phím + kê tay: Nhựa ABS, Mặt bên ngoài cùng: Kim loại, Mặt lưng máy: Nhựa ABS"
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB
R,DDR4
S,3200 MHz
T,1
U,1
V,1
W,24 GB
X,15.6 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,1300 MHz
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Có
AQ,1
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 1 USB 3.0, 2 USB 2.0"
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Chiclet Keyboard
BA,Có
BB,Không
BC,
BD,3 Cell
BE,65 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,Ergolift
BK,
BL,
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Asus SonicMaster stereo
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
