,181
A,Asus Vivobook A512FL-EJ765T i5 10210U/8GB/512GB SSD/2GB MX250/WIN10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-vivobook-a512fl-ej765t-i5-10210u-htm
C,17.990.000
D,1 máy
E,
F,1.7
G,
H,Intel
I,Core i5
J,10210U
K,1.60 GHz
L,4.20 GHz
M,4
N,8
O,6 MB
P,4 GT/s
Q,
R,DDR4
S,2400 MHz
T,
U,
V,0
W,12 GB
X,15.6 inch
Y,LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,
AD,
AE,16:09
AF,
AG,Không
AH,Intel
AI,UHD
AJ,1100 MHz
AK,Share
AL,
AM,
AN,
AO,SSD
AP,
AQ,
AR,
AS,M2. PCIe
AT,512 GB
AU,
AV,802.11 ac
AW,v4.2
AX,HD Webcam (720p Webcam)
AY,
AZ,Chiclet Keyboard
BA,Có
BB,Không
BC,
BD,
BE,
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Asus SonicMaster stereo
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
