,86
A,"Laptop Lenovo Yoga 7 14ACN6 R7 5800U/8GB/512GB/14.0""FHD/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/lenovo-yoga-7-14acn6-r7-5800u-win-10-htm
C,26.990.000
D,3 máy
E,15.69 x 320.34 x 214.6 mm
F,1.45 kg
G,"Khung màn hình: Kính, Mặt bàn phím + kê tay: Nhôm, Mặt bên ngoài cùng: Nhôm"
H,AMD
I,Ryzen 7
J,5800U
K,1.90 GHz
L,4.40 GHz
M,8
N,16
O,4 MB
P,
Q,8 GB
R,LPDDR4X
S,4266 MHz
T,0
U,0
V,1
W,
X,14.0 inch
Y,IPS LCD
Z,1920 x 1080 Pixels
AA,LED
AB,
AC,IPS Glossy
AD,300 nits
AE,16:09
AF,
AG,Có
AH,AMD
AI,Radeon
AJ,
AK,
AL,
AM,
AN,
AO,SSD
AP,
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 Jack 3.5 mm, 1 USB 3.0, 2 Type C"
AV,802.11 ax
AW,v5.0
AX,
AY,2
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,Trắng
BD,3 Cell
BE,65 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,Lenovo Vantage
BJ,Bản lề đôi mở 360 độ
BK,45% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Dolby Audio
BQ,2 quạt
BR,
BS,
BT,
BU,2280
BV,
BW,
BX,
