,2004
A,"Laptop HP 240 G8 i5 1135G7/8GB/512GB/14.0""HD/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/hp-240-g8-i5-1135g7-512gb-win10-htm
C,17.990.000
D,30 máy
E,19.9 x 324 x 226 mm
F,1.47 kg
G,Nhựa
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,16 GB
X,14.0 inch
Y,Anti-glare LED-backlit
Z,1366 x 768 Pixels
AA,LED
AB,60 Hz
AC,SVA
AD,250 nits
AE,
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,Share
AL,
AM,
AN,
AO,SSD
AP,
AQ,
AR,
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Type C"
AV,802.11 a/b/g/n/ac
AW,v5.0
AX,VGA Webcam (480p Webcam)
AY,2
AZ,
BA,Không
BB,
BC,
BD,3 Cell
BE,45 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
