,3815
A,"Laptop MSI Modern 14 B11MOU-1031VN i7-1195G7/8GB/512GB/14""FHD/Win11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/msi-modern-14-b11mou-1031vn-i7-1195g7-htm
C,20.990.000
D,4 máy
E,319 x 219 x 16.9 mm
F,1.3 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Kim loại, Mặt bên ngoài cùng: Kim loại, Mặt lưng máy: Kim loại"
H,Intel
I,Core i7
J,1195G7
K,1.30 GHz
L,5.00 GHz
M,4
N,8
O,
P,4 GT/s
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,64 GB
X,14.0 inch
Y,"IPS LCD LED Backlit, True Tone"
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,300 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,
AL,
AM,
AN,
AO,SSD
AP,
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 3 USB 3.0"
AV,802.11 ax
AW,v5.1
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,Trắng
BD,3 Cell
BE,65 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,
BJ,Bản lề mở 180 độ
BK,72% sRGB
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,HD Audio
BQ,1 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
