,72
A,"Laptop HP Gaming Victus 16-e0175AX R5 5600H/8GB/512GB+32GB/16.1""FHD/NVIDIA GeForce RTX 3050 4GB/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/hp-gaming-victus-16-e0175ax-r5-5600h-win-10-htm
C,24.490.000
D,1 máy
E,369 x 262 x 23.5 mm
F,2.46 kg
G,
H,AMD
I,Ryzen 5
J,5600H
K,3.30 GHz
L,4.20 GHz
M,6
N,12
O,16 MB
P,8 GT/s
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,0
V,0
W,32 GB
X,16.1 inch
Y,Anti-glare Micro-edge WLED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,
AG,Không
AH,AMD
AI,Radeon
AJ,
AK,
AL,NVIDIA
AM,GeForce RTX 3050
AN,4 GB GDDR6
AO,SSD
AP,
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Type C, 1 USB 2.0, 2 USB 3.0"
AV,802.11 a/b/g/n/ac
AW,v5.2
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,RGB
BD,4 Cell
BE,200 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,HP audio boost
BQ,2 quạt
BR,
BS,
BT,
BU,2280
BV,
BW,
BX,
