,3661
A,"Laptop HP Envy 13 ba1030TU i7 1165G7/8GB/512GB/13.3""FHD/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/hp-envy-13-ba1030tu-i7-1165g7-htm
C,30.690.000
D,2 máy
E,307 x 194.5 x 16.9 mm
F,1.25 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhôm, Mặt bên ngoài cùng: Nhôm, Mặt lưng máy: Nhôm"
H,Intel
I,Core i7
J,1165G7
K,2.80 GHz
L,4.70 GHz
M,4
N,8
O,12 MB
P,4 GT/s
Q,8 GB
R,LPDDR4
S,3200 MHz
T,0
U,0
V,1
W,
X,13.3 inch
Y,BrightView Micro-edge WLED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,1300 MHz
AK,Share
AL,
AM,
AN,
AO,SSD
AP,
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 DC-in jack, 1 Jack 3.5 mm, 1 Thunderbolt, 1 Type C, 2 USB 3.0"
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,Trắng
BD,3 Cell
BE,65 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,Office Home & Student
BJ,Bản lề đôi
BK,72% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Audio by B&O
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
