,4161
A,"Laptop Dell Inspiron N5505A R5 4500U/8GB/256GB/15.6""FHD/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-inspiron-n5505a-r5-4500u-htm
C,17.290.000
D,1 máy
E,356 x 234 x 17.9
F,1.83
G,
H,AMD
I,Ryzen 5
J,4500U
K,2.30 GHz
L,4.00 GHz
M,6
N,6
O,8 MB
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,32 GB
X,15.6 inch
Y,WVA Anti-glare LED Backlit Narrow Border
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,WVA
AD,220 nits
AE,16:09
AF,
AG,Không
AH,AMD
AI,Vega 6
AJ,1500 MHz
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,2
AR,1
AS,M2. PCIe
AT,256 GB
AU,
AV,802.11 a/b/g/n/ac
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,
BD,3 Cell
BE,45 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,
BJ,Ergolift
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Realtek ALC3204
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
