,4033
A,"Laptop MSI Prestige 14EVO A11M-089VN i7 1185G7/16GB/512GB SSD/14""FHD/UMA/Win10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/msi-prestige-14evo-a11m-089vn-i7-1185g7-htm
C,29.990.000
D,1 máy
E,319 x 219 x 15.9 mm
F,1.29 kg
G,Mặt bàn phím + kê tay: Kim loại
H,Intel
I,Core i7
J,1185G7
K,3.00 GHz
L,4.80 GHz
M,4
N,8
O,12 MB
P,
Q,16 GB
R,LPDDR4
S,
T,2
U,
V,0
W,
X,14.0 inch
Y,
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,300 nits
AE,
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 Jack 3.5 mm, 1 USB 3.0, 2 Type C"
AV,802.11 ax
AW,v5.1
AX,
AY,2
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,Trắng
BD,3 Cell
BE,90 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,
BJ,Bản lề đôi
BK,100% sRGB
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Realtek High Definition Audio
BQ,1 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
