,1685
A,Laptop Acer Aspire Gaming A715 41G R150 R7 3750H/8GB/512GB SSD/Win 10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/acer-aspire-gaming-a715-41g-r150-r7-3750h-htm
C,21.490.000
D,1 máy
E,363.4 x 254.5 x 23.25 mm
F,2.1 kg
G,Vỏ máy: Nhựa
H,AMD
I,Ryzen 7
J,3750H
K,2.30 GHz
L,4.00 GHz
M,4
N,8
O,4 MB
P,8 GT/s
Q,8 GB (1 thanh 8 GB)
R,DDR4
S,2666 MHz
T,2
U,1
V,0
W,32 GB
X,15.6 inch
Y,LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,
AE,16:09
AF,
AG,Không
AH,AMD
AI,Vega 10
AJ,
AK,Share
AL,
AM,GeForce GTX 1650 Ti
AN,4 GB GDDR6
AO,SSD
AP,Không
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Type C, 1 USB 2.0, 2 USB 3.0"
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,Trắng
BD,3 Cell
BE,
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,
BK,
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Acer TrueHarmony
BQ,2 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
