,4689
A,"Laptop Asus TUF Gaming FX517ZC-HN077W i5 12450H/8GB/512GB/15.6""FHD/NVIDIA GeForce RTX 3050 4GB/Win 11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-tuf-gaming-fx517zc-hn077w-i5-12450h-htm
C,27.990.000
D,2 máy
E,354 x 251 x 19.9 mm
F,2.0 kg
G,Mặt lưng máy: Kim loại
H,Intel
I,Core i5
J,12450H
K,3.30 GHz
L,4.40 GHz
M,8
N,12
O,12 MB
P,
Q,8 GB (1 thanh 8 GB)
R,DDR5
S,4800 MHz
T,2
U,1
V,0
W,32 GB
X,15.6 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,1000:1
AG,Không
AH,Intel
AI,UHD
AJ,1450 MHz
AK,
AL,Intel
AM,GeForce RTX 3050
AN,4 GB GDDR6
AO,SSD
AP,
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Thunderbolt, 1 Type C, 2 USB 3.2 Gen 1"
AV,802.11 ax
AW,v5.2
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,
BD,4 Cell
BE,180 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,Office 365
BJ,Ergolift
BK,62% sRGB
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,350 MHz
BP,Asus SonicMaster stereo
BQ,1 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
