,3996
A,"Laptop MSI Summit E13 Flip Evo A11MT- 220VN i7 1185G7/16GB/1TB SSD/13.4""FHD/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/msi-summit-e13-flip-evo-a11mt-i7-1185g7-htm
C,37.990.000
D,1 máy
E,14.9 x 300.2 x 222.25 mm
F,1.35 kg
G,"Khung màn hình: Kim loại, Mặt bàn phím + kê tay: Kim loại, Mặt bên ngoài cùng: Kim loại, Mặt lưng máy: Kim loại"
H,Intel
I,Core i7
J,1185G7
K,3.00 GHz
L,4.80 GHz
M,4
N,8
O,12 MB
P,4 GT/s
Q,16 GB
R,LPDDR4
S,2133 MHz
T,0
U,0
V,2
W,
X,13.4 inch
Y,LED Backlit
Z,1920 x 1200 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,
AE,16:10
AF,
AG,Có
AH,Intel
AI,Iris Xe
AJ,1350 MHz
AK,
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,1
AR,0
AS,M2. PCIe
AT,1 TB
AU,"1 Card reader, 1 Jack 3.5 mm, 1 Type C, 1 USB 3.0, 2 Thunderbolt"
AV,802.11 ax
AW,v5.2
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,
BB,LED
BC,Trắng
BD,4 Cell
BE,65 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,MSI Center for Business & Productivity
BJ,Bản lề đôi mở 360 độ
BK,100% sRGB
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Realtek High Definition Audio
BQ,Cooler Boost
BR,
BS,
BT,
BU,
BV,
BW,
BX,
