,2260
A,Laptop Asus Vivobook Flip TM420IA-EC227T R7 4700U/8GB/512GB SSD/14''FHD touch/Win10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-vivobook-flip-tm420ia-ec227t-r7-4700u-htm
C,19.990.000
D,3 máy
E,324 x 220.3 x 18.13 mm
F,1.5 kg
G,"Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Nhôm"
H,AMD
I,Ryzen 7
J,4700U
K,2.00 GHz
L,4.10 GHz
M,8
N,8
O,8 MB
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,1
U,0
V,1
W,20 GB
X,14.0 inch
Y,LED Backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS Glossy
AD,250 nits
AE,
AF,
AG,Có
AH,AMD
AI,Radeon
AJ,
AK,
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,1
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 1 USB 2.0, 1 USB 3.0"
AV,802.11 ax
AW,v5.0
AX,
AY,1
AZ,Backlit Chiclet Keyboard
BA,
BB,LED
BC,Trắng
BD,3 Cell
BE,42 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Asus SonicMaster stereo
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
