,3183
A,Laptop Dell Vostro V5581/Core i5 8265U/70194504
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-vostro-v5581-core-i5-8265u-finger-70194504-htm
C,17.999.000
D,1 máy
E,
F,1.9
G,
H,Intel
I,Core i5
J,8265U
K,1.60 GHz
L,3.90 GHz
M,4
N,8
O,6 MB
P,4 GT/s
Q,
R,DDR4
S,2666 MHz
T,2
U,1
V,0
W,32 GB
X,15.6 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,
AD,
AE,16:09
AF,
AG,Không
AH,Intel
AI,UHD
AJ,1100 MHz
AK,Share
AL,
AM,
AN,
AO,HDD
AP,
AQ,
AR,
AS,
AT,
AU,
AV,802.11 ac
AW,
AX,HD Webcam (720p Webcam)
AY,2
AZ,Chiclet Keyboard
BA,Không
BB,
BC,
BD,
BE,
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,McAfee LiveSafe
BJ,
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
