,464
A,Laptop Acer Swift 3 SF314 511 56G1 i5 1135G7/16GB/512GB SSD/Win10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/acer-swift-3-sf314-511-56g1-i5-1135g7-htm
C,20.990.000
D,1 máy
E,
F,
G,
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,
M,
N,
O,
P,
Q,16 GB
R,LPDDR4X
S,
T,
U,
V,
W,
X,14.0 inch
Y,Acer ComfyView LED-backlit
Z,1920 x 1080 Pixels
AA,
AB,
AC,
AD,
AE,
AF,
AG,
AH,
AI,
AJ,
AK,
AL,
AM,
AN,
AO,
AP,
AQ,
AR,
AS,
AT,
AU,
AV,
AW,
AX,
AY,
AZ,
BA,
BB,
BC,
BD,3 Cell
BE,
BF,
BG,Windows 10
BH,
BI,
BJ,
BK,
BL,
BM,
BN,
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
