,2461
A,"Laptop Asus TUF Gaming FX506HC-HN001T i7 11800H/8GB/512GB/15.6""FHD/NVIDIA GeForce RTX 3050 4GB/Win10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-tuf-gaming-fx506hc-hn001t-i7-11800h-htm
C,28.490.000
D,1 máy
E,359 x 256 x 22.9 mm
F,2.3 kg
G,"Khung màn hình: Nhựa ABS, Mặt bàn phím + kê tay: Nhựa ABS, Mặt bên ngoài cùng: Nhựa ABS, Mặt lưng máy: Kim loại"
H,Intel
I,Core i7
J,11800H
K,2.30 GHz
L,4.60 GHz
M,8
N,16
O,24 MB
P,8 GT/s
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,32 GB
X,15.6 inch
Y,"IPS LCD LED Backlit, True Tone"
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,250 nits
AE,
AF,
AG,Không
AH,Intel
AI,UHD
AJ,350 MHz
AK,
AL,NVIDIA
AM,GeForce RTX 3050
AN,4 GB GDDR6
AO,SSD
AP,
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 Thunderbolt, 3 USB 3.0"
AV,802.11 ax
AW,v5.1
AX,
AY,2
AZ,Backlit Chiclet Keyboard
BA,
BB,LED
BC,RGB
BD,3 Cell
BE,180 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,
BK,62% sRGB
BL,RGB per key
BM,Multi-touch touchpad
BN,Lithium-ion
BO,350 MHz
BP,DTS Studio Sound
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
