,1351
A,"Laptop Dell Inspiron N5515 R5 5500U/8GB/256GB/15.6""FHD/Win 10+Office Home&Student"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-inspiron-n5515-r5-5500u-htm
C,18.990.000
D,6 máy
E,356 x 228 x 17.9 mm
F,1.75 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhôm, Mặt bên ngoài cùng: Nhôm, Mặt lưng máy: Nhựa"
H,AMD
I,Ryzen 5
J,5500U
K,2.10 GHz
L,4.00 GHz
M,6
N,12
O,8 MB
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,32 GB
X,16.0 inch
Y,WVA Anti-glare LED Backlit Narrow Border
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,WVA
AD,250 nits
AE,16:09
AF,600:1
AG,Không
AH,AMD
AI,Vega 7
AJ,1800 MHz
AK,
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,
AR,
AS,M2. PCIe
AT,256 GB
AU,"1 Card reader, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 2 USB 3.0"
AV,
AW,v5.1
AX,RGB HD Camera
AY,2
AZ,Chiclet Keyboard
BA,Có
BB,
BC,
BD,4 Cell
BE,65 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,Office Home & Student
BJ,Ergolift
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Realtek High Definition Audio
BQ,1 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
