,1864
A,"Laptop Dell Gaming G15 5511 i5 11400H/8GB/256GB/15.6""FHD/GeForce RTX 3050 4GB/Win 11/Office HS21"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-gaming-g15-5511-i5-11400h-ram-8gb-htm
C,27.490.000
D,25 máy
E,357 x 272 x 25 mm
F,2.81 kg
G,
H,Intel
I,Core i5
J,11400H
K,2.70 GHz
L,4.50 GHz
M,6
N,12
O,12 MB
P,8 GT/s
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,32 GB
X,15.6 inch
Y,WVA Anti-glare LED Backlit Narrow Border
Z,1920 x 1080 Pixels
AA,LED
AB,
AC,WVA
AD,250 nits
AE,16:09
AF,800:1
AG,Không
AH,Intel
AI,UHD
AJ,
AK,Share
AL,NVIDIA
AM,GeForce RTX 3050
AN,4 GB GDDR6
AO,SSD
AP,Không
AQ,2
AR,1
AS,M2. PCIe
AT,256 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Type C, 3 USB 3.0"
AV,802.11 ax
AW,v5.2
AX,HD Webcam (720p Webcam)
AY,2
AZ,English International Backlit Keyboard
BA,Có
BB,
BC,
BD,3 Cell
BE,
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,
BM,
BN,Lithium-ion
BO,
BP,Realtek ALC3204
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
