,2748
A,"Laptop Dell Inspiron N7501 i7 10750H/8GB/512GB/15.6""FHD/GTX1650Ti 4GB/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-inspiron-n7501-i7-10750h-htm
C,31.999.000
D,2 máy
E,356 x 234 x 18.9
F,1.81
G,
H,Intel
I,Core i7
J,10750H
K,2.60 GHz
L,5.00 GHz
M,6
N,12
O,12 MB
P,8 GT/s
Q,8 GB
R,DDR4
S,2933 MHz
T,1
U,1
V,1
W,32 GB
X,15.6 inch
Y,WVA Anti-glare LED Backlit Narrow Border
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,TFT
AD,
AE,16:09
AF,
AG,Không
AH,Intel
AI,UHD
AJ,
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,1
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,
BD,3 Cell
BE,45 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,Bản lề đôi
BK,
BL,
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Realtek High Definition Audio
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
