,4308
A,"Laptop Dell G5 15 5500 i7 10750H/8GB/512GB/GeForce GTX1660 Ti 6GB/15.6""FHD/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-g5-15-5500-i7-10750h-htm
C,31.299.000
D,1 máy
E,365 x 275 x 23.4
F,2.34
G,
H,Intel
I,Core i7
J,10750H
K,2.60 GHz
L,5.00 GHz
M,6
N,12
O,12 MB
P,8 GT/s
Q,8 GB
R,DDR4
S,2933 MHz
T,2
U,0
V,
W,32 GB
X,15.6 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,120 Hz
AC,WVA
AD,250 nits
AE,16:10
AF,
AG,Không
AH,Intel
AI,UHD
AJ,1150 MHz
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Có
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,
BD,4 Cell
BE,
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,McAfee LiveSafe
BJ,Bản lề đơn
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Realtek High Definition Audio
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
