,4424
A,"Laptop HP Envy 13 ba1536TU i5 1135G7/8GB/512GB/13.3""FHD/Win 11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/hp-envy-13-ba1536tu-i5-1135g7-win-11-htm
C,23.990.000
D,4 máy
E,306.5 x 194.6 x 16.9 mm
F,1.3 kg
G,Vỏ máy: Kim loại
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB
R,DDR4
S,2933 MHz
T,0
U,0
V,2
W,Không nâng cấp
X,13.3 inch
Y,LED Backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,400 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 2 USB 3.0"
AV,Wifi 6
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,Trắng
BD,3 Cell
BE,65 W
BF,Windows
BG,Windows 11 Home Single Language
BH,64 bit
BI,
BJ,Bản lề đơn
BK,100% sRGB
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Audio by B&O
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
