,732
A,Laptop Acer Swift 3x SF314 510G 57MR i5 1135G7/8G/512GSSD/Intel Iris Xe Max 4GB/Win10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/acer-swift-3-sf314-510g-57mr-i5-1135g7-htm
C,22.990.000
D,1 máy
E,322.7 x 212.4 x 17.9 mm
F,1.37 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhôm, Mặt bên ngoài cùng: Nhôm, Mặt lưng máy: Nhôm"
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB
R,LPDDR4
S,4266 MHz
T,1
U,0
V,1
W,8 GB
X,14.0 inch
Y,"IPS LCD LED Backlit, True Tone"
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,
AE,
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,Share
AL,Intel
AM,Iris Xe Max
AN,4 GB
AO,SSD
AP,
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 1 Type C, 2 USB 3.0"
AV,802.11 ax
AW,v5.1
AX,HD Webcam (720p Webcam)
AY,1
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,Trắng
BD,4 Cell
BE,
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,Bản lề mở 180 độ
BK,
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Acer TrueHarmony
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
