,4425
A,"Laptop Fujitsu CH 9C13A1 i5 1135G7/8GB/512GB/13.3""FHD/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/fujitsu-ch-9c13a1-i5-1135g7-win-10-htm
C,25.990.000
D,4 máy
E,15.9 x  307 x 208 mm
F,0.995 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Kim loại, Mặt bên ngoài cùng: Kim loại, Mặt lưng máy: Kim loại"
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB
R,LPDDR4X
S,4266 MHz
T,0
U,0
V,1
W,16 GB
X,13.3 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,
AC,
AD,400 nits
AE,16:09
AF,
AG,
AH,Intel
AI,Iris Xe
AJ,
AK,
AL,
AM,
AN,
AO,SSD
AP,
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 1 USB 3.0, 2 Thunderbolt, 2 Type C"
AV,"802.11 ax, Wifi 6"
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,
BB,
BC,
BD,2 Cell
BE,30 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,Bản lề đơn
BK,
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,1800 MHz
BP,Stereo speakers with high dynamic range
BQ,2 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
