,1980
A,"Laptop Asus Vivobook M513UA-L1230W R5 5500U/8GB/512GB SSD/15.6"" OLED/Win11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-vivobook-m513ua-l1230w-r5-5500u-htm
C,18.990.000
D,5 máy
E,359 x 235 x 18.9 mm
F,1.8 kg
G,"Khung màn hình: Nhôm, Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Nhựa, Mặt lưng máy: Nhựa"
H,AMD
I,Ryzen 5
J,5500U
K,2.30 GHz
L,4.00 GHz
M,6
N,12
O,
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,1
U,0
V,1
W,20 GB
X,15.6 inch
Y,OLED
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,OLED
AD,
AE,
AF,
AG,Không
AH,AMD
AI,Radeon
AJ,
AK,Share
AL,
AM,
AN,
AO,SSD
AP,
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 1 USB 3.0, 2 USB 2.0"
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,1
AZ,Chiclet Keyboard
BA,Không
BB,Không
BC,
BD,3 Cell
BE,42 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,
BK,100% DCI-P3
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Asus SonicMaster stereo
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
