,2833
A,"Laptop AVITA Liber V14L PW i7 10510U/8GB/1TB SSD/14""FHD/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/avita-liber-v14l-pw-i7-10510u-htm
C,21.999.000
D,1 máy
E,430 x 145 x 285
F,1.28 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhôm, Mặt bên ngoài cùng: Nhôm, Mặt lưng máy: Nhựa"
H,Intel
I,Core i7
J,10510U
K,1.80 GHz
L,4.90 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB
R,DDR4
S,2400 MHz
T,0
U,0
V,1
W,8 GB
X,14.0 inch
Y,
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,220 nits
AE,16:09
AF,400:1
AG,Không
AH,Intel
AI,UHD
AJ,1150 MHz
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,1
AR,0
AS,M.2 SATA
AT,1 TB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 2 USB 3.0"
AV,802.11 b/g/n/ac
AW,v4.2
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,Trắng
BD,4800 mAh
BE,42 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,Bản lề mở 135 độ
BK,45% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Realtek High Definition Audio
BQ,1 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
