,1236
A,"MacBook Air 13"" 2020 M1 512GB"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/macbook-air-13-2020-m1-512gb-htm
C,31.999.000
D,2 máy
E,304.1 x 212.4 x 4.1 ~ 16.1 mm
F,1.29 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhôm, Mặt bên ngoài cùng: Nhôm, Mặt lưng máy: Nhôm"
H,Apple
I,M1
J,
K,
L,
M,8
N,8
O,
P,
Q,8 GB
R,LPDDR4
S,
T,0
U,0
V,1
W,16 GB
X,13.3 inch
Y,"IPS LCD LED Backlit, True Tone"
Z,2560 x 1600 Pixels
AA,LED
AB,
AC,IPS
AD,
AE,16:10
AF,
AG,Không
AH,Apple
AI,GPU 8 nhân
AJ,
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,
AR,
AS,
AT,512 GB
AU,"1 Jack 3.5 mm, 2 Thunderbolt, 2 Type C"
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,English International Backlit Keyboard
BA,Không
BB,LED
BC,Trắng
BD,
BE,
BF,macOS
BG,
BH,
BI,
BJ,
BK,96% sRGB
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Stereo speakers with high dynamic range
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
