,1962
A,Laptop HP 15s-fq2558TU i7 1165G7/8GB/512GB/15.6''HD/Win 11
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/hp-15s-fq2558tu-i7-1165g7-win-11-htm
C,19.290.000
D,1 máy
E,358.5 x 242 x 17.9 mm
F,1.726 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Nhựa, Mặt lưng máy: Nhựa"
H,Intel
I,Core i7
J,1165G7
K,2.80 GHz
L,4.70 GHz
M,4
N,8
O,12 MB
P,4 GT/s
Q,8 GB (2 thanh 4 GB)
R,DDR4
S,3200 MHz
T,2
U,0
V,0
W,16 GB
X,15.6 inch
Y,BrightView Micro-edge WLED-backlit
Z,1280 x 720 Pixels
AA,LED
AB,
AC,IPS
AD,250 nits
AE,
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,
AL,
AM,
AN,
AO,SSD
AP,
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 1 Type C"
AV,
AW,v4.2
AX,HD Webcam (720p Webcam)
AY,2
AZ,"6-row, multimedia Fn keys, numeric keypad"
BA,Có
BB,
BC,
BD,3 Cell
BE,
BF,Windows
BG,Windows 11 Home Single Language
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
