,3383
A,"Laptop Asus Zenbook UM5401QA-KN209W R5 5600H/8GB/512GB SSD/14"" OLED 2.8K Touch/Win11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-zenbook-um5401qa-kn209w-r5-5600h-htm
C,25.990.000
D,12 máy
E,330 x 221.7 x 15.9 mm
F,1.4 kg
G,"Khung màn hình: Nhôm, Mặt bàn phím + kê tay: Nhôm, Mặt bên ngoài cùng: Nhôm, Mặt lưng máy: Nhôm"
H,AMD
I,Ryzen 5
J,5600H
K,3.30 GHz
L,4.20 GHz
M,6
N,12
O,16 MB
P,
Q,8 GB
R,LPDDR4X
S,4267 MHz
T,0
U,0
V,1
W,8 GB
X,14.0 inch
Y,OLED
Z,2880 x 1800 Pixels
AA,LED
AB,90 Hz
AC,OLED
AD,500 nits
AE,16:10
AF,1000:1
AG,Có
AH,AMD
AI,Radeon
AJ,1000 MHz
AK,
AL,
AM,
AN,
AO,SSD
AP,
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 USB 3.0, 2 Type C"
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,1
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,Trắng
BD,3 Cell
BE,100 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,Ergolift
BK,100% DCI-P3
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,1800 MHz
BP,Harman Kardon speakers
BQ,1 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
