,2206
A,"Laptop Dell Vostro V5410 i5 11320H/8GB/512GB/14.0""FHD/Win 10+Office Home&Student"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-vostro-v5410-i5-11320h-htm
C,23.690.000
D,3 máy
E,321.57 x 212.2 x 17.9 mm
F,1.442 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Nhựa, Mặt lưng máy: Nhựa"
H,Intel
I,Core i5
J,11320H
K,2.50 GHz
L,4.50 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB (1 thanh 8 GB)
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,32 GB
X,14.0 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,WVA
AD,250 nits
AE,16:09
AF,500:1
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Có
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm"
AV,802.11 a/b/g
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,English International Backlit Keyboard
BA,Không
BB,LED
BC,Trắng
BD,4 Cell
BE,54 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,Office Home & Student
BJ,Bản lề đôi
BK,45% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Realtek High Definition Audio
BQ,1 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
