,3326
A,"Laptop Dell Gaming Alienware M15 R6 i7 11800H/32GB/1TB/15.6""QHD/NVIDIA GeForce RTX3070 8GB/Win 11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-gaming-alienware-m15-r6-i7-11800h-htm
C,66.490.000
D,1 máy
E,356 x 272 x 19 mm
F,2.7 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Nhựa, Mặt lưng máy: Nhựa"
H,Intel
I,Core i7
J,11800H
K,2.30 GHz
L,4.60 GHz
M,8
N,16
O,24 MB
P,8 GT/s
Q,32 GB (2 thanh 16 GB)
R,DDR4
S,3200 MHz
T,2
U,0
V,0
W,32 GB
X,15.6 inch
Y,Wide-Viewing Angle (WVA)
Z,2560 x 1440 Pixels
AA,LED
AB,240 Hz
AC,WVA
AD,400 nits
AE,16:09
AF,1000:1
AG,Không
AH,Intel
AI,UHD
AJ,1450 MHz
AK,Share
AL,NVIDIA
AM,GeForce RTX 3070
AN,8 GB GDDR6
AO,SSD
AP,Không
AQ,2
AR,1
AS,M.2 NVMe
AT,1 TB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Thunderbolt, 3 USB 3.0"
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,RGB
BD,6 Cell
BE,240 W
BF,Windows
BG,Windows 11 Home Single Language
BH,64 bit
BI,Office Home & Student
BJ,
BK,
BL,
BM,
BN,
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
