,2261
A,"Laptop HP Pavilion Gaming 15 ec1054AX R5 4600H/8GB/128GB+1TB/15.6""FHD/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/hp-pavilion-gaming-15-ec1054ax-r5-4600h-htm
C,19.990.000
D,1 máy
E,360 x 257 x 22.5
F,1.98
G,
H,AMD
I,Ryzen 5
J,4600H
K,3.00 GHz
L,4.00 GHz
M,6
N,12
O,8 MB
P,8 GT/s
Q,
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,16 GB
X,15.6 inch
Y,IPS LCD
Z,1920 x 1080 Pixelss
AA,LED
AB,144 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,
AG,Không
AH,AMD
AI,Vega 6
AJ,1600 MHz
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,2
AR,0
AS,M2. PCIe
AT,128 GB
AU,
AV,802.11 ac
AW,v5.0
AX,1.0 MP
AY,
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,
BD,
BE,
BF,Windows
BG,Windows 10
BH,
BI,
BJ,Bản lề đôi
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Audio by B&O
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
