,745
A,Laptop Asus Vivobook A515EP-BQ193T i5 1135G7/8GB/512GB SSD/Nvidia MX330 2GB/Win 10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-vivobook-a515ep-bq193t-i5-1135g7-htm
C,20.090.000
D,2 máy
E,359 x 235 x 17.9 mm
F,1.7 kg
G,"Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Kim loại"
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,
U,1
V,1
W,24 GB
X,15.6 inch
Y,Nano Edge
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,Share
AL,NVIDIA
AM,GeForce MX330
AN,2 GB
AO,SSD
AP,Không
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 2 USB 2.0"
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Chiclet Keyboard
BA,Có
BB,Không
BC,
BD,3 Cell
BE,42 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Harman Kardon speakers
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
