,2606
A,"Laptop Lenovo ThinkBook 14 G3 ACL R5 5500U/8GB/512GB/14""FHD/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/lenovo-thinkbook-14-g3-acl-r5-5500u-htm
C,18.699.000
D,2 máy
E,
F,
G,
H,AMD
I,Ryzen 5
J,5500U
K,2.10 GHz
L,
M,
N,
O,
P,
Q,8 GB
R,DDR4
S,
T,
U,
V,
W,
X,14.0 inch
Y,"IPS LCD LED Backlit, True Tone"
Z,1920 x 1080 Pixels
AA,
AB,
AC,
AD,
AE,
AF,
AG,
AH,
AI,
AJ,
AK,
AL,
AM,
AN,
AO,
AP,
AQ,
AR,
AS,
AT,
AU,
AV,
AW,
AX,
AY,
AZ,
BA,
BB,
BC,
BD,3 Cell
BE,
BF,
BG,Windows 10
BH,
BI,
BJ,
BK,
BL,
BM,
BN,
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
