,179
A,Laptop Asus Vivobook X515EP-BQ401W i5 1135G7/8GB/512GB SSD/Nvidia GeForce MX330 2GB/Win11
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-vivobook-x515ep-bq401w-i5-1135g7-htm
C,17.490.000
D,1 máy
E,199 x 360 x 235 mm
F,1.8 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Nhựa, Mặt lưng máy: Nhựa"
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,1
U,0
V,1
W,20 GB
X,15.6 inch
Y,IPS LCD
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,UHD
AJ,
AK,
AL,NVIDIA
AM,GeForce MX330
AN,
AO,SSD
AP,
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 1 Type C, 1 USB 3.0, 2 USB 2.0"
AV,802.11 ax
AW,v4.1
AX,HD Webcam (720p Webcam)
AY,1
AZ,Chiclet Keyboard
BA,Không
BB,
BC,
BD,2 Cell
BE,37 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Asus SonicMaster stereo
BQ,
BR,
BS,
BT,
BU,2280
BV,
BW,
BX,
