,2205
A,"Laptop Asus Zenbook UX425EA-KI839W i5 1135G7/8GB/512GB SSD/14"" FHD/Win 11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-zenbook-ux425ea-ki839w-i5-1135g7-htm
C,22.490.000
D,4 máy
E,13.9 x 319 x 208 mm
F,1.17 kg
G,"Khung màn hình: Nhôm, Mặt bàn phím + kê tay: Nhôm, Mặt bên ngoài cùng: Nhôm, Mặt lưng máy: Nhôm"
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,0
U,0
V,1
W,
X,14.0 inch
Y,IPS LCD
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,400 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,
AL,
AM,
AN,
AO,SSD
AP,
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 USB 3.0, 2 Thunderbolt, Card reader"
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,Trắng
BD,4 Cell
BE,
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,
BK,100% sRGB
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Harman Kardon speakers
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
